State,Total_Revenue,Average_Discount,Number_of_Customers,Order_Date
CA,5498.37,0.2,1,2017-07-06
NY,6074.05,0.12,1,2017-07-07
CA,9725.84,0.1,1,2017-07-09
NY,1613.39,0.12,1,2017-07-09
CA,2855.44,0.1,2,2017-07-11
NY,1635.55,0.11,1,2017-07-11
NY,7040.54,0.08,3,2017-07-12
NY,7179.98,0.07,1,2017-07-13
CA,4162.86,0.11,1,2017-07-14
NY,14742.34,0.07,2,2017-07-14
NY,15456.2,0.11,2,2017-07-15
NY,5008.46,0.13,2,2017-07-16
TX,1060.17,0.07,1,2017-07-16
CA,2446.94,0.16,1,2017-07-18
NY,2816.56,0.12,2,2017-07-18
NY,12220.87,0.12,3,2017-07-19
TX,557.98,0.07,1,2017-07-19
NY,3801.65,0.15,1,2017-07-20
NY,3765.71,0.13,2,2017-07-22
NY,45450.93,0.1,6,2017-07-23
CA,7439.98,0.07,1,2017-07-26
NY,1052.96,0.08,1,2017-07-26
NY,5122.35,0.16,1,2017-07-27
CA,7719.96,0.15,1,2017-07-29
NY,4296.18,0.08,1,2017-07-29
CA,2319.97,0.2,1,2017-07-30
NY,20558.98,0.11,5,2017-07-30
NY,5640.31,0.08,2,2017-07-31
NY,718.4,0.2,1,2017-08-02
CA,10050.63,0.1,1,2017-08-04
NY,9938.95,0.09,1,2017-08-04
NY,5687.96,0.09,2,2017-08-06
NY,629.98,0.1,1,2017-08-07
TX,9014.52,0.07,2,2017-08-07
NY,2379.46,0.08,1,2017-08-08
TX,9134.7,0.1,1,2017-08-08
CA,11698.69,0.1,2,2017-08-09
NY,16488.28,0.11,3,2017-08-10
NY,2069.37,0.08,1,2017-08-11
NY,15550.58,0.11,3,2017-08-12
NY,7183.32,0.07,1,2017-08-13
NY,6530.06,0.07,1,2017-08-14
NY,21106.79,0.1,3,2017-08-15
TX,6316.91,0.11,2,2017-08-16
NY,27174.27,0.12,6,2017-08-17
TX,799.98,0.2,1,2017-08-17
CA,2059.93,0.11,1,2017-08-18
NY,1611.07,0.16,1,2017-08-18
CA,3594.86,0.08,1,2017-08-19
NY,30511.56,0.1,7,2017-08-19
NY,8621.13,0.15,2,2017-08-20
CA,5648.92,0.11,2,2017-08-21
NY,6672.29,0.1,1,2017-08-21
TX,10364.48,0.11,2,2017-08-22
CA,3127.56,0.06,1,2017-08-23
CA,351.99,0.2,1,2017-08-24
NY,5686.58,0.08,1,2017-08-24
CA,6784.02,0.1,2,2017-08-25
NY,2716.77,0.13,1,2017-08-25
TX,16491.52,0.12,1,2017-08-26
CA,1512.89,0.1,1,2017-08-27
NY,3975.23,0.09,1,2017-08-27
CA,170.99,0.1,1,2017-08-28
NY,8565.72,0.08,2,2017-08-28
NY,6997.09,0.06,2,2017-08-29
NY,2615.98,0.2,1,2017-08-31
NY,7211.72,0.09,1,2017-09-01
TX,11831.34,0.11,1,2017-09-01
NY,6906.97,0.17,2,2017-09-02
CA,2605.28,0.06,1,2017-09-03
NY,1115.98,0.1,1,2017-09-03
NY,6414.25,0.1,2,2017-09-04
NY,11062.42,0.08,1,2017-09-05
NY,1119.28,0.14,2,2017-09-06
NY,18670.93,0.11,1,2017-09-07
NY,35120.55,0.12,3,2017-09-08
CA,5893.56,0.12,1,2017-09-10
NY,4204.53,0.09,1,2017-09-10
NY,3920.66,0.08,1,2017-09-11
NY,15205.93,0.1,1,2017-09-12
NY,9645.38,0.09,1,2017-09-13
TX,11476.54,0.07,1,2017-09-13
NY,4814.63,0.07,1,2017-09-14
TX,5244.95,0.12,1,2017-09-14
NY,3906.43,0.11,2,2017-09-15
NY,14567.16,0.15,1,2017-09-17
CA,9070.35,0.11,2,2017-09-18
NY,25104.04,0.1,4,2017-09-19
NY,480.59,0.1,1,2017-09-20
TX,10951.56,0.17,1,2017-09-20
CA,8439.63,0.08,2,2017-09-21
TX,13765.55,0.09,1,2017-09-21
CA,1619.99,0.1,1,2017-09-22
CA,4459.22,0.09,1,2017-09-23
CA,2190.57,0.17,1,2017-09-24
NY,176.69,0.07,1,2017-09-24
NY,9717.5,0.11,4,2017-09-25
NY,7575.35,0.09,1,2017-09-27
NY,2664.96,0.07,1,2017-09-28
CA,1899.98,0.05,1,2017-09-29
NY,5732.47,0.11,1,2017-09-29
NY,8618.34,0.09,4,2017-09-30
CA,11116.59,0.12,4,2017-10-01
NY,26136.79,0.1,4,2017-10-01
NY,1063.89,0.07,1,2017-10-02
NY,1026.7,0.07,1,2017-10-03
CA,4298.45,0.07,1,2017-10-04
NY,26282.07,0.13,2,2017-10-04
NY,20518.66,0.1,2,2017-10-05
NY,1590.85,0.14,1,2017-10-07
NY,3545.3,0.13,2,2017-10-08
NY,13947.54,0.08,1,2017-10-09
TX,170.99,0.1,1,2017-10-10
NY,2891.75,0.09,1,2017-10-12
TX,13997.91,0.09,2,2017-10-12
CA,466.84,0.07,1,2017-10-13
NY,7490.66,0.1,2,2017-10-13
NY,21604.04,0.11,4,2017-10-14
NY,19580.84,0.1,3,2017-10-15
NY,387.8,0.07,1,2017-10-16
NY,13019.97,0.09,3,2017-10-17
CA,8901.79,0.07,1,2017-10-19
NY,1512.16,0.07,2,2017-10-19
NY,7526.04,0.09,1,2017-10-21
NY,507.29,0.05,1,2017-10-22
CA,1662.05,0.07,1,2017-10-23
NY,6228.96,0.13,2,2017-10-23
NY,208.98,0.05,1,2017-10-24
NY,4145.95,0.06,2,2017-10-25
CA,4445.06,0.12,1,2017-10-26
NY,5246.99,0.1,4,2017-10-26
TX,4327.03,0.07,1,2017-10-26
NY,9184.68,0.12,2,2017-10-27
TX,2899.48,0.07,1,2017-10-27
NY,26723.83,0.1,4,2017-10-28
CA,1368.07,0.06,1,2017-10-30
NY,15097.91,0.12,1,2017-10-30
NY,21204.37,0.11,2,2017-10-31
TX,279.99,0.2,1,2017-11-01
NY,524.39,0.05,1,2017-11-02
NY,9908.46,0.11,1,2017-11-03
CA,6515.95,0.1,1,2017-11-04
NY,25423.69,0.12,3,2017-11-04
CA,10549.34,0.09,1,2017-11-05
NY,3622.74,0.07,2,2017-11-05
CA,7040.85,0.11,1,2017-11-06
NY,11463.96,0.17,1,2017-11-06
NY,14605.57,0.08,2,2017-11-07
NY,2658.76,0.07,1,2017-11-08
CA,6578.93,0.11,1,2017-11-09
NY,8329.25,0.12,2,2017-11-09
NY,6798.79,0.08,2,2017-11-10
NY,3638.23,0.09,2,2017-11-11
NY,2840.05,0.11,1,2017-11-12
NY,4237.45,0.11,2,2017-11-13
CA,8056.4,0.08,2,2017-11-16
NY,11451.8,0.09,2,2017-11-17
TX,17834.96,0.08,1,2017-11-17
CA,4210.36,0.15,1,2017-11-18
NY,2192.65,0.15,2,2017-11-18
NY,24125.06,0.1,3,2017-11-19
NY,1019.96,0.08,1,2017-11-20
NY,1763.19,0.15,1,2017-11-21
NY,1845.88,0.1,1,2017-11-22
NY,20056.19,0.11,3,2017-11-23
NY,8035.51,0.09,2,2017-11-24
NY,3725.95,0.14,2,2017-11-25
CA,5806.04,0.1,1,2017-11-26
NY,10823.86,0.18,2,2017-11-26
NY,20253.55,0.1,3,2017-11-27
NY,989.99,0.1,1,2017-11-28
CA,5549.98,0.09,1,2017-11-29
NY,8820.15,0.17,1,2017-11-30
NY,25670.28,0.11,3,2017-12-01
TX,5185.83,0.1,1,2017-12-01
NY,8011.31,0.05,1,2017-12-02
NY,10047.42,0.13,1,2017-12-03
NY,28658.19,0.11,4,2017-12-04
CA,9327.74,0.11,1,2017-12-07
TX,8481.9,0.14,1,2017-12-07
CA,1099.48,0.08,1,2017-12-08
NY,2309.3,0.07,1,2017-12-08
NY,11299.97,0.08,1,2017-12-09
NY,2814.74,0.07,2,2017-12-10
CA,1082.97,0.05,1,2017-12-11
NY,6945.77,0.15,1,2017-12-11
CA,3058.94,0.08,1,2017-12-14
NY,18281.47,0.06,1,2017-12-14
TX,3346.03,0.06,1,2017-12-14
CA,2780.55,0.1,1,2017-12-15
NY,10132.36,0.06,1,2017-12-15
CA,3793.16,0.17,1,2017-12-16
NY,21910.81,0.1,3,2017-12-16
NY,5315.9,0.09,1,2017-12-17
NY,11210.73,0.12,1,2017-12-20
CA,2518.15,0.16,1,2017-12-22
NY,9346.47,0.12,2,2017-12-22
CA,8945.75,0.18,1,2017-12-24
NY,5863.45,0.09,1,2017-12-24
CA,2494.65,0.13,2,2017-12-25
NY,2217.64,0.07,1,2017-12-25
TX,4305.96,0.1,1,2017-12-25
CA,728.97,0.1,1,2017-12-26
CA,593.99,0.1,1,2017-12-27
NY,8066.03,0.16,2,2017-12-27
CA,1113.27,0.12,1,2017-12-28
CA,3824.06,0.1,1,2017-12-30
NY,8722.72,0.05,2,2017-12-31
NY,5835.86,0.15,1,2018-01-01
TX,14309.93,0.07,2,2018-01-01
NY,11804.98,0.1,2,2018-01-02
CA,4685.1,0.1,1,2018-01-04
NY,3546.93,0.12,1,2018-01-04
NY,6701.45,0.1,1,2018-01-05
NY,2658.15,0.11,1,2018-01-06
TX,12369.63,0.08,1,2018-01-06
NY,24784.41,0.06,2,2018-01-07
CA,14397.14,0.1,1,2018-01-09
NY,4499.99,0.1,1,2018-01-09
NY,12089.98,0.07,1,2018-01-10
CA,2975.99,0.07,1,2018-01-11
CA,4030.96,0.15,1,2018-01-12
NY,14063.31,0.08,2,2018-01-12
NY,17893.29,0.11,2,2018-01-13
NY,17758.35,0.16,1,2018-01-14
TX,8797.05,0.09,1,2018-01-14
CA,31219.43,0.07,2,2018-01-15
NY,26981.3,0.11,2,2018-01-15
NY,6024.21,0.14,2,2018-01-16
NY,2312.44,0.09,1,2018-01-17
CA,1394.98,0.07,1,2018-01-19
NY,17925.91,0.1,2,2018-01-19
NY,4863.97,0.2,1,2018-01-20
CA,1439.98,0.2,1,2018-01-21
TX,892.98,0.05,1,2018-01-21
NY,9854.71,0.09,2,2018-01-22
NY,12935.95,0.16,1,2018-01-23
NY,451.78,0.1,1,2018-01-24
NY,31694.6,0.08,2,2018-01-25
NY,9173.38,0.12,1,2018-01-26
CA,7947.44,0.11,1,2018-01-27
NY,4737.26,0.12,1,2018-01-27
NY,8840.93,0.1,2,2018-01-28
NY,5075.24,0.14,2,2018-01-29
TX,3149.99,0.1,1,2018-01-29
CA,5891.16,0.06,1,2018-01-30
TX,5419.97,0.13,1,2018-01-30
CA,1228.52,0.07,1,2018-02-01
NY,18278.94,0.06,1,2018-02-01
CA,9712.95,0.12,1,2018-02-02
NY,1538.96,0.1,1,2018-02-02
CA,2419.76,0.09,1,2018-02-05
NY,1987.97,0.15,1,2018-02-05
NY,5332.95,0.12,1,2018-02-06
CA,6259.27,0.13,1,2018-02-07
NY,6718.55,0.08,1,2018-02-08
TX,6843.94,0.07,1,2018-02-08
CA,5515.96,0.12,1,2018-02-09
NY,3104.98,0.1,2,2018-02-09
NY,6971.55,0.07,1,2018-02-11
NY,9200.83,0.07,1,2018-02-12
NY,3807.72,0.14,2,2018-02-13
NY,11183.04,0.06,1,2018-02-14
TX,4749.98,0.05,1,2018-02-14
CA,7663.95,0.15,1,2018-02-15
NY,12974.82,0.09,2,2018-02-15
CA,1392.27,0.13,1,2018-02-16
NY,6183.56,0.09,1,2018-02-16
NY,2738.25,0.14,1,2018-02-17
NY,1961.87,0.11,1,2018-02-18
NY,14249.65,0.09,1,2018-02-19
NY,377.98,0.1,1,2018-02-21
CA,5444.96,0.12,1,2018-02-23
NY,6657.95,0.08,2,2018-02-25
NY,9063.52,0.14,2,2018-02-26
TX,9481.43,0.07,1,2018-02-26
NY,17611.96,0.13,1,2018-02-27
CA,3899.98,0.15,1,2018-03-01
NY,7256.77,0.08,1,2018-03-01
TX,531.98,0.05,1,2018-03-01
NY,10624.85,0.07,2,2018-03-03
TX,4458.95,0.12,1,2018-03-03
CA,1023.98,0.2,1,2018-03-04
NY,18785.08,0.13,3,2018-03-04
NY,531.98,0.05,1,2018-03-05
TX,3535.28,0.11,1,2018-03-05
CA,2119.26,0.18,1,2018-03-06
CA,7999.98,0.2,1,2018-03-07
NY,18980.9,0.06,3,2018-03-07
NY,15991.02,0.14,2,2018-03-08
NY,601.58,0.06,1,2018-03-10
NY,9146.66,0.12,3,2018-03-11
NY,20157.47,0.11,3,2018-03-14
CA,3039.98,0.05,1,2018-03-15
NY,24672.0,0.11,2,2018-03-15
TX,10537.1,0.1,2,2018-03-15
NY,14324.42,0.11,3,2018-03-16
NY,6996.59,0.07,2,2018-03-17
CA,4399.99,0.2,1,2018-03-18
NY,12647.92,0.1,2,2018-03-18
NY,15170.12,0.1,2,2018-03-19
CA,2698.54,0.1,2,2018-03-20
NY,17134.72,0.12,4,2018-03-20
TX,2804.14,0.06,1,2018-03-20
NY,15700.34,0.07,2,2018-03-21
NY,6516.93,0.13,2,2018-03-22
NY,13821.53,0.05,1,2018-03-23
NY,8936.45,0.13,1,2018-03-24
NY,1253.98,0.05,1,2018-03-25
CA,9532.35,0.09,1,2018-03-26
NY,3643.54,0.12,1,2018-03-26
CA,15999.96,0.06,1,2018-03-27
TX,6150.94,0.09,1,2018-03-27
NY,12647.73,0.09,2,2018-03-28
NY,727.98,0.2,1,2018-03-29
CA,2301.66,0.13,2,2018-03-30
NY,7952.05,0.09,1,2018-03-30
NY,18734.3,0.11,3,2018-03-31
NY,35962.52,0.08,4,2018-04-01
NY,17523.85,0.1,4,2018-04-02
CA,21609.26,0.11,4,2018-04-03
CA,9389.04,0.1,1,2018-04-04
NY,683.98,0.1,1,2018-04-04
TX,386.99,0.1,1,2018-04-04
CA,2448.95,0.12,1,2018-04-05
NY,4242.07,0.12,1,2018-04-05
CA,35384.01,0.08,5,2018-04-06
NY,7105.1,0.1,2,2018-04-06
CA,1673.97,0.08,1,2018-04-07
CA,297.59,0.07,1,2018-04-08
NY,47646.38,0.09,4,2018-04-08
CA,1394.98,0.07,1,2018-04-09
NY,22275.49,0.1,2,2018-04-09
TX,846.29,0.07,1,2018-04-09
CA,25664.92,0.07,2,2018-04-10
TX,15645.92,0.13,1,2018-04-10
CA,31837.83,0.11,3,2018-04-11
NY,7744.69,0.14,1,2018-04-11
TX,11710.94,0.11,1,2018-04-11
CA,7905.02,0.13,2,2018-04-12
NY,26941.63,0.12,4,2018-04-12
TX,16520.32,0.09,3,2018-04-12
CA,2870.07,0.1,2,2018-04-13
NY,14362.12,0.1,2,2018-04-13
NY,21973.88,0.12,3,2018-04-14
NY,12223.62,0.09,2,2018-04-15
TX,1937.96,0.05,1,2018-04-15
CA,12914.14,0.08,1,2018-04-16
NY,45595.89,0.12,3,2018-04-16
CA,32668.05,0.13,5,2018-04-17
NY,27280.13,0.09,4,2018-04-17
CA,4936.65,0.09,2,2018-04-18
NY,22418.78,0.11,2,2018-04-18
CA,2509.14,0.07,1,2018-04-19
NY,10885.55,0.09,1,2018-04-19
NY,23197.16,0.12,4,2018-04-20
TX,3254.99,0.07,1,2018-04-20
CA,19735.89,0.11,5,2018-04-21
NY,16600.74,0.11,3,2018-04-22
TX,8237.95,0.13,1,2018-04-22
CA,16100.75,0.09,3,2018-04-23
NY,24126.94,0.09,3,2018-04-23
CA,6134.12,0.1,2,2018-04-24
CA,4020.96,0.11,2,2018-04-25
NY,967.47,0.13,1,2018-04-25
CA,38985.55,0.1,4,2018-04-26
NY,390.58,0.07,1,2018-04-26
CA,19424.84,0.13,3,2018-04-27
NY,35704.22,0.09,2,2018-04-27
NY,1509.97,0.13,2,2018-04-28
TX,6130.57,0.07,2,2018-04-28
CA,7141.97,0.16,1,2018-04-29
NY,6241.56,0.14,2,2018-04-29
TX,10937.34,0.13,1,2018-04-29
NY,3660.62,0.08,2,2018-04-30
NY,188.99,0.1,1,2018-06-17
TX,8597.95,0.11,1,2018-07-01
TX,782.98,0.1,1,2018-07-10
CA,949.99,0.05,1,2018-07-11
CA,1006.98,0.05,1,2018-07-12
NY,2483.15,0.18,1,2018-08-23
NY,5894.66,0.14,1,2018-08-25
NY,8963.96,0.12,1,2018-09-06
CA,3781.13,0.1,1,2018-10-21
NY,5257.97,0.06,1,2018-11-18
TX,6104.04,0.11,1,2018-11-28
TX,6516.97,0.16,1,2018-12-28
